unknown,seed,shot,method,accuracy,precision,recall,macro_f1,roc_auc,pr_auc,attack_recall,false_positive_rate
ddos,52,1,SGD,0.8220000000000001,0.8499758362552481,0.8220000000000001,0.8160859374307011,0.8826999999999999,0.9173574839376308,0.743,0.099
ddos,52,3,Adam,0.8865000000000001,0.9083177859721978,0.8865000000000001,0.8833269369432212,0.9329000000000001,0.9542973382181973,0.8140000000000001,0.040999999999999995
ddos,52,3,MetaOpt,0.902,0.9222112470862471,0.902,0.8994513210499885,0.9611,0.9722025786305198,0.82,0.016
ddos,52,3,SGD,0.9225,0.9382745865245866,0.9225,0.9205118175112454,0.9682999999999999,0.9773887205415843,0.8690000000000001,0.024
ddos,52,5,Adam,0.8965000000000001,0.9159202464202465,0.8965000000000001,0.8938481570604805,0.9587,0.9702863269169771,0.821,0.028000000000000004
ddos,52,5,MetaOpt,0.9055,0.9236212259962261,0.9055,0.9032656746978661,0.9761,0.9819492682455143,0.8220000000000001,0.011000000000000001
ddos,52,5,SGD,0.9440000000000001,0.9528447663447663,0.9440000000000001,0.9431207127327735,0.9876999999999999,0.9903124444999445,0.9129999999999999,0.025
ddos,52,10,Adam,0.8959999999999999,0.9138680416805417,0.8959999999999999,0.8936464377495943,0.9693999999999999,0.975892608698491,0.809,0.017
ddos,52,10,MetaOpt,0.9,0.9188344017094018,0.9,0.8976014564151393,0.9852,0.9872354895104896,0.81,0.01
ddos,52,10,SGD,0.9525,0.9604928959928961,0.9525,0.9517265572479598,0.9937,0.9943314962814962,0.922,0.017
ddos,62,1,Adam,0.7215,0.7565674549049162,0.7215,0.7075308637373368,0.7503,0.8250097072990649,0.6609999999999999,0.218
ddos,62,1,MetaOpt,0.785,0.8142483647888059,0.785,0.7759953241602925,0.8353,0.8828570474331311,0.711,0.141
ddos,62,1,SGD,0.758,0.7878594062671076,0.758,0.7475027853408146,0.7856000000000001,0.8479371344513759,0.687,0.171
ddos,62,3,Adam,0.8554999999999999,0.8819428618766856,0.8554999999999999,0.8508289413344368,0.8856,0.9278521689395914,0.7859999999999999,0.075
ddos,62,3,MetaOpt,0.888,0.908256784881785,0.888,0.8853484259809977,0.9323999999999999,0.9531213675299588,0.8270000000000001,0.051000000000000004
ddos,62,3,SGD,0.8859999999999999,0.9087128288378288,0.8859999999999999,0.8827507649598274,0.9316,0.9534364708391024,0.8390000000000001,0.067
ddos,62,5,Adam,0.873,0.8942754745254746,0.873,0.8700186689516343,0.9073,0.9395137610755258,0.785,0.03900000000000001
ddos,62,5,MetaOpt,0.899,0.9150283744033745,0.899,0.8971508918871619,0.9520000000000001,0.9653143100449602,0.8290000000000001,0.031
ddos,62,5,SGD,0.907,0.9207370823620823,0.907,0.9053831434938583,0.9562999999999999,0.9689096662711214,0.851,0.037000000000000005
ddos,62,10,Adam,0.862,0.883900654900655,0.862,0.8588637249381091,0.9059,0.9348672005153429,0.7709999999999999,0.047
ddos,62,10,MetaOpt,0.885,0.9028886113886115,0.885,0.882652051613453,0.96,0.9679960994887464,0.813,0.043
ddos,62,10,SGD,0.9105,0.9249306665556667,0.9105,0.9087112189944334,0.9736,0.9789651110327582,0.8540000000000001,0.033
ddos,72,1,Adam,0.7965000000000001,0.8163320331629156,0.7965000000000001,0.7884407658451339,0.8295,0.8856928459998893,0.722,0.129
ddos,72,1,MetaOpt,0.797,0.8218453111431053,0.797,0.7883206163369443,0.8169,0.8787613205550899,0.705,0.111
ddos,72,1,SGD,0.8,0.8199203410968117,0.8,0.7925446956611986,0.8255,0.8853652603545404,0.7140000000000001,0.114
ddos,72,3,Adam,0.8434999999999999,0.8636000637434462,0.8434999999999999,0.8392035469285604,0.8954000000000001,0.9274704096943648,0.797,0.11
ddos,72,3,MetaOpt,0.8565,0.8803682951035893,0.8565,0.8512654019763657,0.9045000000000001,0.9326582706895787,0.78,0.067
ddos,72,3,SGD,0.8590000000000001,0.8840743627287745,0.8590000000000001,0.8540544636263913,0.9218999999999999,0.9446324067143727,0.833,0.115
ddos,72,5,Adam,0.86,0.8797609196359197,0.86,0.8571126248155458,0.9118999999999999,0.9363262790786784,0.794,0.07400000000000001
ddos,72,5,MetaOpt,0.8704999999999999,0.8906615606615607,0.8704999999999999,0.867491326463429,0.9307,0.9484459257546719,0.7929999999999999,0.052000000000000005
ddos,72,5,SGD,0.867,0.885165417915418,0.867,0.864334329123786,0.9359000000000001,0.9532531986288565,0.823,0.08900000000000001
ddos,72,10,Adam,0.879,0.8938773587523587,0.879,0.8771545548460006,0.9429000000000001,0.9564473348031397,0.8190000000000001,0.061000000000000006
ddos,72,10,MetaOpt,0.895,0.9084753163503164,0.895,0.8933461197362934,0.96,0.9674625289742935,0.8290000000000001,0.03900000000000001
